Product ID,Location,Risk Score,Backorder Risk,Distribution Center
10000075,USA,High,61,Center F
10000405,USA,High,61,Center F
10000535,USA,High,61,Center F
10000675,USA,High,61,Center F
10000845,USA,High,61,Center F
10001275,USA,High,61,Center F
10002005,USA,High,61,Center F
10002025,USA,High,61,Center F
10002075,USA,High,61,Center F
10002725,USA,High,61,Center F
10002755,USA,High,61,Center F
10003075,USA,High,61,Center F
10003115,USA,High,61,Center F
10003205,USA,High,61,Center F
10003235,USA,High,61,Center F
10003385,USA,High,61,Center F
10003955,USA,High,61,Center F
10004595,USA,High,61,Center F
10004785,USA,High,61,Center F
10005005,USA,High,61,Center F
10005215,USA,High,61,Center F
10005305,USA,High,61,Center F
10005515,USA,High,61,Center F
10005575,USA,High,61,Center F
10005615,USA,High,61,Center F
10005735,USA,High,61,Center F
10005765,USA,High,61,Center F
10005925,USA,High,61,Center F
10006175,USA,High,61,Center F
10006975,USA,High,61,Center F
10006995,USA,High,61,Center F
10007035,USA,High,61,Center F
10007085,USA,High,61,Center F
10007145,USA,High,61,Center F
10007175,USA,High,61,Center F
10007965,USA,High,61,Center F
10008785,USA,High,61,Center F
10008835,USA,High,61,Center F
10010155,USA,High,61,Center F
10010185,USA,High,61,Center F
10010525,USA,High,61,Center F
10010795,USA,High,61,Center F
10010825,USA,High,61,Center F
10011495,USA,High,61,Center F
10011745,USA,High,61,Center F
10011985,USA,High,61,Center F
10013285,USA,High,61,Center F
10013905,USA,High,61,Center F
10014195,USA,High,61,Center F
10014295,USA,High,61,Center F
10014415,USA,High,61,Center F
10015095,USA,High,61,Center F
10015145,USA,High,61,Center F
10015195,USA,High,61,Center F
10015385,USA,High,61,Center F
10016025,USA,High,61,Center F
10016205,USA,High,61,Center F
10016465,USA,High,61,Center F
10031755,USA,High,61,Center F
10032185,USA,High,61,Center F
10032795,USA,High,61,Center F
10032855,USA,High,61,Center F
10032925,USA,High,61,Center F
10033485,USA,High,61,Center F
10033775,USA,High,61,Center F
10034185,USA,High,61,Center F
10034385,USA,High,61,Center F
10034875,USA,High,61,Center F
10035425,USA,High,61,Center F
10035665,USA,High,61,Center F
10035715,USA,High,61,Center F
10035845,USA,High,61,Center F
10035925,USA,High,61,Center F
10035995,USA,High,61,Center F
10036545,USA,High,61,Center F
10036785,USA,High,61,Center F
10036875,USA,High,61,Center F
10037015,USA,High,61,Center F
10037135,USA,High,61,Center F
10037505,USA,High,61,Center F
10037655,USA,High,61,Center F
10037775,USA,High,61,Center F
10038255,USA,High,61,Center F
10039615,USA,High,61,Center F
10039775,USA,High,61,Center F
10000015,USA,High,72,Center F
10000355,USA,High,72,Center F
10001165,USA,High,72,Center F
10001745,USA,High,72,Center F
10001845,USA,High,72,Center F
10001865,USA,High,72,Center F
10002265,USA,High,72,Center F
10002895,USA,High,72,Center F
10003165,USA,High,72,Center F
10003195,USA,High,72,Center F
10003755,USA,High,72,Center F
10004275,USA,High,72,Center F
10004395,USA,High,72,Center F
10005115,USA,High,72,Center F
10005675,USA,High,72,Center F
10005715,USA,High,72,Center F
10006525,USA,High,72,Center F
