Month,Region,Plant,Product Type,Forecast Bias,Buyer Type,Shipment Destination,Shipment Type,Product ID,Forecast Accuracy,Brand,Backorder %,Distribution Center,Demand Type
April,West,#0048,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0658,Distribution Center C,Intermittent
April,Midwest,#0048,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.055,Distribution Center D,Intermittent
April,West,#0239,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0317,Distribution Center C,Intermittent
April,Northeast,#0239,Neurological,Accurate (5% to -5%),,,,,,,0.0329,Distribution Center A,Intermittent
April,Southwest,#0239,Neurological,Accurate (5% to -5%),,,,,,,0.0457,Distribution Center B,Intermittent
April,Southwest,#0239,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0693,Distribution Center B,Intermittent
April,West,#0239,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0694,Distribution Center C,Intermittent
April,Midwest,#0288,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0406,Distribution Center D,Intermittent
April,West,#0288,Neurological,Accurate (5% to -5%),,,,,,,0.0543,Distribution Center C,Intermittent
April,Midwest,#0288,Neurological,Accurate (5% to -5%),,,,,,,0.0691,Distribution Center D,Intermittent
April,Northeast,#0477,Advanced Surgical,Accurate (5% to -5%),,,,,,,0.0754,Distribution Center A,Intermittent
April,West,#0477,Neurological,Accurate (5% to -5%),,,,,,,0.0657,Distribution Center C,Intermittent
April,Midwest,#0477,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0292,Distribution Center D,Intermittent
April,West,#0610,Neurological,Accurate (5% to -5%),,,,,,,0.0439,Distribution Center C,Intermittent
April,West,#0610,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0507,Distribution Center C,Intermittent
April,Southwest,#0610,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0344,Distribution Center B,Intermittent
April,West,#0689,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0652,Distribution Center C,Intermittent
April,Southwest,#0761,Cardiovascular,Accurate (5% to -5%),,,,,,,0.041,Distribution Center B,Intermittent
April,West,#0761,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0521,Distribution Center C,Intermittent
April,Midwest,#0761,Neurological,Accurate (5% to -5%),,,,,,,0.0552,Distribution Center D,Intermittent
April,Southwest,#0761,Neurological,Accurate (5% to -5%),,,,,,,0.0309,Distribution Center B,Intermittent
April,Northeast,#0761,Neurological,Accurate (5% to -5%),,,,,,,0.0586,Distribution Center A,Intermittent
April,Northeast,#0761,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0513,Distribution Center A,Intermittent
April,Northeast,#0761,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0547,Distribution Center A,Intermittent
April,Midwest,#0761,Respiratory,Accurate (5% to -5%),,,,,,,0.0202,Distribution Center D,Intermittent
December,Midwest,#0288,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0555,Distribution Center D,Intermittent
February,Midwest,#0288,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0809,Distribution Center D,Intermittent
January,Midwest,#0288,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0609,Distribution Center D,Intermittent
June,Southwest,#0048,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0511,Distribution Center B,Intermittent
June,Northeast,#0048,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.102428673104522,Distribution Center A,Intermittent
June,Northeast,#0239,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0012,Distribution Center A,Intermittent
June,Midwest,#0239,Cardiovascular,Accurate (5% to -5%),,,,,,,0.011,Distribution Center D,Intermittent
June,West,#0239,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0274035064658264,Distribution Center C,Intermittent
June,Midwest,#0239,Neurological,Accurate (5% to -5%),,,,,,,0.0,Distribution Center D,Intermittent
June,West,#0239,Patient Monitoring,Accurate (5% to -5%),,,,,,,0.0552,Distribution Center C,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0001,Distribution Center D,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0001,Distribution Center D,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0024,Distribution Center D,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0014,Distribution Center D,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0024,Distribution Center D,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0014,Distribution Center D,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0024,Distribution Center D,Intermittent
June,Midwest,#0288,Cardiovascular,Accurate (5% to -5%),,,,,,,0.0014,Distribution Center D,Intermittent
